"table","Reference","DOI","Description","URL..for.data.","BibTex"
"human_learning_rate","Koedinger, K. R., Carvalho, P., Liu, R., & McLaughlin, E. A. (2023). Student-step roll up for ds104 from An Astonishing Regularity in Student Learning Rate [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=4629",NA,"Data from an online tutoring system used to study human learning rates","https://pslcdatashop.web.cmu.edu/Files?datasetId=4629","@misc{koedinger2023,
  author = {Koedinger, K. R. and Carvalho, P. and Liu, R. and McLaughlin, E. A.},
  title = {Student-step roll up for ds104 from An Astonishing Regularity in Student Learning Rate},
  year = {2023},
  howpublished = {Data set},
  note = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=4629}
}"
"johnson_ipip_2005","Johnson, J. A. (2015, November 4). Data from Johnson, J. A. (2005). Ascertaining the validity of web-based personality inventories. Journal of Research in Personality, 39, 103-129. doi:10.1016/j.jrp.2004.09.009. Retrieved from osf.io/sxeq5","10.1016/j.jrp.2004.09.009","IPIP (personality test) item response data from Johnson's 2005 study","https://osf.io/tbmh5/"," @article{Johnson_2005, title={Ascertaining the validity of individual protocols from Web-based personality inventories}, volume={39}, ISSN={0092-6566}, url={http://dx.doi.org/10.1016/j.jrp.2004.09.009}, DOI={10.1016/j.jrp.2004.09.009}, number={1}, journal={Journal of Research in Personality}, publisher={Elsevier BV}, author={Johnson, John A.}, year={2005}, month=feb, pages={103–129} }
"
"junyi_academy_problems","Chang, H., Hsu, H., & Chen, K. (2015). Problem log, from ""Modeling Exercise Relationships in E-Learning: A Unified Approach"" [data set]. International Conference on Educational Data Mining (EDM). https://pslcdatashop.web.cmu.edu/Files?datasetId=1198",NA,"Item data from exercsies from Junyi Academy, which is an online learning platform","https://pslcdatashop.web.cmu.edu/Files?datasetId=1198","@inproceedings{chang2015problem,
  author = {Chang, H. and Hsu, H. and Chen, K.},
  title = {Problem log, from ""Modeling Exercise Relationships in E-Learning: A Unified Approach""},
  booktitle = {International Conference on Educational Data Mining (EDM)},
  year = {2015},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=1198},
  note = {Item data from exercises from Junyi Academy, which is an online learning platform}
}"
"mtf","Miech, Richard A., Johnston, Lloyd D., Bachman, Jerald G., O’Malley, Patrick M., Schulenberg, John E., and Patrick, Megan E. Monitoring the Future: A Continuing Study of American Youth (12th-Grade Survey), 2021. Inter-university Consortium for Political and Social Research [distributor], 2022-10-31. https://doi.org/10.3886/ICPSR38503.v1","10.3886/ICPSR38503.v1","Affective self-report data (brief scales on depression, self-esteem, loneliness, self-derogation) from the ""Monitoring the Future"" study","https://www.icpsr.umich.edu/web/NAHDAP/series/35","@misc{https://doi.org/10.3886/icpsr38503.v1,
  doi = {10.3886/ICPSR38503.V1},
  url = {https://www.icpsr.umich.edu/web/NAHDAP/studies/38503/versions/V1},
  author = {Miech, Richard A. and Johnston, Lloyd D. and Bachman, Jerald G. and O'Malley, Patrick M. and Schulenberg, John E. and Patrick, Megan E.},
  keywords = {alcohol, attitudes, crime, demographic characteristics, drug education, drug use, educational objectives, family background, gender roles, high school students, human behavior, lifestyles, prescription drugs, religious attitudes, self esteem, social change, tobacco use, values, youths},
  language = {en},
  title = {Monitoring the Future: A Continuing Study of American Youth (12th-Grade Survey), 2021},
  publisher = {ICPSR - Interuniversity Consortium for Political and Social Research},
  year = {2022}
}
"
"measuring_lexical_quality","Andrews, S., Veldre, A. & Clarke, I.E. Measuring Lexical Quality: The Role of Spelling Ability. Behav Res 52, 2257–2282 (2020). https://doi.org/10.3758/s13428-020-01387-3","10.3758/s13428-020-01387-3","Spelling test results","https://osf.io/t4x7r/"," @article{Andrews_2020, title={Measuring Lexical Quality: The Role of Spelling Ability}, volume={52}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-020-01387-3}, DOI={10.3758/s13428-020-01387-3}, number={6}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Andrews, Sally and Veldre, Aaron and Clarke, Indako E.}, year={2020}, month=apr, pages={2257–2282} }
"
"Mental_Health_Questionnaire_for_the_Elderly","Wang T, Tang D, Gong X, Wang D. Anxiety and Depression Among Older People Dwelling in Nursing Homes Versus Communities. Chinese Journal of Clinical Psychology,2012,20(6):868-870.",NA,"In order to accurately and effectively measure the level of anxiety symptoms in the elderly (above 60 years old), from 2010 to 2011, this project translated, test-tested, and used the English version of the Geriatric Anxiety Inventory (GAI) developed in 2007 by Australian scholar Pachana. This dataset includes the responses from 1318 Chinese elderly people living in urban communities, rural communities, and nursing homes in Beijing.","http://www.cnsda.org/index.php?r=projects/view&id=60493698","@article{Wang2012,
  author = {Wang, T. and Tang, D. and Gong, X. and Wang, D.},
  title = {Anxiety and Depression Among Older People Dwelling in Nursing Homes Versus Communities},
  journal = {Chinese Journal of Clinical Psychology},
  year = {2012},
  volume = {20},
  number = {6},
  pages = {868--870},
  url = {http://www.cnsda.org/index.php?r=projects/view&id=60493698}
}"
"moralfoundations_vignette","Crone, D.L., Rhee, J.J. & Laham, S.M. Developing brief versions of the Moral Foundations Vignettes using a genetic algorithm-based approach. Behav Res 53, 1179–1187 (2021). https://doi.org/10.3758/s13428-020-01489-y","10.3758/s13428-020-01489-y","Data from the Moral Foundations Vignette (MFV)","https://osf.io/cmwpv/"," @article{Crone_2020, title={Developing brief versions of the Moral Foundations Vignettes using a genetic algorithm-based approach}, volume={53}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-020-01489-y}, DOI={10.3758/s13428-020-01489-y}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Crone, Damien L. and Rhee, Joshua J. and Laham, Simon M.}, year={2020}, month=oct, pages={1179–1187} }
"
"oli_psych_course","Cheng, H. (2022). Gradebook for OLI Psych course [dataset]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=5255",NA,"Grading data from an OLI psychology course","https://pslcdatashop.web.cmu.edu/Files?datasetId=5255","@misc{cheng2022,
  author = {Cheng, H.},
  title = {Gradebook for OLI Psych course},
  year = {2022},
  howpublished = {Dataset},
  note = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=5255}
}"
"rollcall_house","Lewis, Jeffrey B., Keith Poole, Howard Rosenthal, Adam Boche, Aaron Rudkin, and Luke Sonnet (2023). Voteview: Congressional Roll-Call Votes Database. https://voteview.com/",NA,"US House votes","https://voteview.com/articles/data_help_votes","@misc{lewis2023voteview,
  author = {Lewis, Jeffrey B. and Poole, Keith and Rosenthal, Howard and Boche, Adam and Rudkin, Aaron and Sonnet, Luke},
  title = {Voteview: Congressional Roll-Call Votes Database},
  year = {2023},
  url = {https://voteview.com/},
  note = {US House votes}
}"
"rollcall_senate","Lewis, Jeffrey B., Keith Poole, Howard Rosenthal, Adam Boche, Aaron Rudkin, and Luke Sonnet (2023). Voteview: Congressional Roll-Call Votes Database. https://voteview.com/",NA,"US Senate votes","https://voteview.com/articles/data_help_votes","@misc{lewis2023voteview,
  author = {Lewis, Jeffrey B. and Poole, Keith and Rosenthal, Howard and Boche, Adam and Rudkin, Aaron and Sonnet, Luke},
  title = {Voteview: Congressional Roll-Call Votes Database},
  year = {2023},
  url = {https://voteview.com/},
  note = {US Senate votes}
}"
"slingshot","Ribeiro Eulalio Cabral, G., Rodrigues Sampaio, L., Ribeiro Eulalio Cabral, G. et al. Slingshot Challenge and Star Mines: Two digital games as a prisoner’s dilemma to assess cooperation in children. Behav Res 54, 597–610 (2022). https://doi.org/10.3758/s13428-021-01661-y","10.3758/s13428-021-01661-y","Data from two digital games (Slingshot Challenge and Star Mines) for testing prisoner's dilemma","https://github.com/grecabral/Supplemental-files/blob/master/data.csv"," @article{Ribeiro_Eulalio_Cabral_2021, title={Slingshot Challenge and Star Mines: Two digital games as a prisoner’s dilemma to assess cooperation in children}, volume={54}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-021-01661-y}, DOI={10.3758/s13428-021-01661-y}, number={2}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Ribeiro Eulalio Cabral, Guilherme and Rodrigues Sampaio, Leonardo and Ribeiro Eulalio Cabral, Giordano and Bastos Santana, Raick}, year={2021}, month=jul, pages={597–610} }
"
"state_c1_2007_10_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state reading assessment (grade 10)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c1_2007_3_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state reading assessment (grade 3)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c1_2007_4_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state reading assessment (grade 4)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c1_2007_5_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state reading assessment (grade 5)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c1_2007_6_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state reading assessment (grade 6)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c1_2007_7_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state reading assessment (grade 7)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c1_2007_8_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state reading assessment (grade 8)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c1_2007_9_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state reading assessment (grade 9)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c3_2007_5_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state math assessment (grade 5)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c3_2007_6_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state math assessment (grade 6)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c3_2007_7_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state math assessment (grade 7)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c3_2007_8_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state math assessment (grade 8)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"state_c3_2007_9_responses","Briggs, D. C., & Domingue, B. (2013). The gains from vertical scaling. Journal of Educational and Behavioral Statistics, 38(6), 551-576.","10.3102/1076998613508317","Response from a state math assessment (grade 9)","n/a"," @article{Briggs_2013, title={The Gains From Vertical Scaling}, volume={38}, ISSN={1935-1054}, url={http://dx.doi.org/10.3102/1076998613508317}, DOI={10.3102/1076998613508317}, number={6}, journal={Journal of Educational and Behavioral Statistics}, publisher={American Educational Research Association (AERA)}, author={Briggs, Derek C. and Domingue, Ben}, year={2013}, month=dec, pages={551–576} }
"
"thurstonian_ddiffusion","Bunji, K., Okada, K. Joint modeling of the two-alternative multidimensional forced-choice personality measurement and its response time by a Thurstonian D-diffusion item response model. Behav Res 52, 1091–1107 (2020). https://doi.org/10.3758/s13428-019-01302-5","10.3758/s13428-019-01302-5","Forced choice responses to big 5 items","https://osf.io/jswqg/"," @article{Bunji_2020, title={Joint modeling of the two-alternative multidimensional forced-choice personality measurement and its response time by a Thurstonian D-diffusion item response model}, volume={52}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-019-01302-5}, DOI={10.3758/s13428-019-01302-5}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Bunji, Kyosuke and Okada, Kensuke}, year={2020}, month=may, pages={1091–1107} }
"
"wordsum","Malhotra, N., Krosnick, J. A., & Haertel, E. (2007). The psychometric properties of the GSS Wordsum vocabulary test. GSS Methodological Report, 11, 1-63.",NA,"Ten item vocabulary test included in General Social Suvey (https://en.wikipedia.org/wiki/Wordsum)","https://gss.norc.org/get-the-data/stata","@article{malhotra2007psychometric,
  author = {Malhotra, N. and Krosnick, J. A. and Haertel, E.},
  title = {The psychometric properties of the GSS Wordsum vocabulary test},
  journal = {GSS Methodological Report},
  volume = {11},
  pages = {1--63},
  year = {2007},
  url = {https://gss.norc.org/get-the-data/stata},
  note = {Ten item vocabulary test included in General Social Survey}
}"
"wpi_math_assistments","Heffernan, N. (2010). 2004-2005 question level data [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=92",NA,"Items from online algebra tutoring, assessing whether students get the item correct on the first attempt","https://pslcdatashop.web.cmu.edu/Files?datasetId=92","@misc{heffernan2010,
  author = {Heffernan, Neil},
  title = {2004-2005 question level data},
  year = {2010},
  howpublished = {Data set},
  note = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=92},
  description = {Items from online algebra tutoring, assessing whether students get the item correct on the first attempt}
}"
"nbashots",NA,NA,"NBA shots by player","https://github.com/DomSamangy/NBA_Shots_04_23","@misc{nbashots,
  author = {Dom Samangy},
  title = {NBA shots by player},
  year = {2023},
  url = {https://github.com/DomSamangy/NBA_Shots_04_23},
  note = {Accessed: 2023-10-01}
}"
"AAQ-II","Langer, Á. I., Ponce, F. P., Ordóñez-Carrasco, J. L., Fuentes-Ferrada, R., Mac-Ginty, S., Gaete, J., & Núñez, D. (2024). Psychometric evidence of the Acceptance and Action Questionnaire-II (AAQ-II): an item response theory analysis in university students from Chile. BMC psychology, 12(1), 111.","10.1186/s40359-024-01608-w","Measure of Experiential avoidance","https://osf.io/43dfq/?view_only=a97186042d6a474aad93880b183935fc"," @article{Langer_2024, title={Psychometric evidence of the Acceptance and Action Questionnaire-II (AAQ-II): an item response theory analysis in university students from Chile}, volume={12}, ISSN={2050-7283}, url={http://dx.doi.org/10.1186/s40359-024-01608-w}, DOI={10.1186/s40359-024-01608-w}, number={1}, journal={BMC Psychology}, publisher={Springer Science and Business Media LLC}, author={Langer, Álvaro I. and Ponce, Fernando P. and Ordóñez-Carrasco, Jorge L. and Fuentes-Ferrada, Reiner and Mac-Ginty, Scarlett and Gaete, Jorge and Núñez, Daniel}, year={2024}, month=mar }
"
"face_identification_jeckeln2023","Jeckeln, G., Hu, Y., Cavazos, J. G., Yates, A. N., Hahn, C. A., Tang, L., ... & O’Toole, A. J. (2024). Face identification proficiency test designed using item response theory. Behavior Research Methods, 56(3), 1244-1259.","10.3758/s13428-023-02092-7","Data from Triad Identity Matching (TIM) tasks.","https://osf.io/yruvk/?view_only=4e4ae41ae25c4b4cba113a62660df231"," @article{Jeckeln_2023, title={Face identification proficiency test designed using item response theory}, volume={56}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-023-02092-7}, DOI={10.3758/s13428-023-02092-7}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Jeckeln, Geraldine and Hu, Ying and Cavazos, Jacqueline G. and Yates, Amy N. and Hahn, Carina A. and Tang, Larry and Phillips, P. Jonathon and O’Toole, Alice J.}, year={2023}, month=jun, pages={1244–1259} }
"
"STARSinCA_Perlstein_2022","Perlstein, S., Wagner, N., Domínguez-Álvarez, B., Gómez-Fraguela, J. A., Romero, E., Lopez-Romero, L., & Waller, R. (2023). Psychometric properties, factor structure, and validity of the sensitivity to threat and affiliative reward scale in children and adults. Assessment, 30(6), 1914-1934.","10.1177/10731911221128946","Sensitivity to Threat and Affiliative Reward Scale (STARS)","https://osf.io/5qxv6/"," @article{Perlstein_2022, title={Psychometric Properties, Factor Structure, and Validity of the Sensitivity to Threat and Affiliative Reward Scale in Children and Adults}, volume={30}, ISSN={1552-3489}, url={http://dx.doi.org/10.1177/10731911221128946}, DOI={10.1177/10731911221128946}, number={6}, journal={Assessment}, publisher={SAGE Publications}, author={Perlstein, Samantha and Wagner, Nicholas and Domínguez-Álvarez, Beatriz and Gómez-Fraguela, José Antonio and Romero, Estrella and Lopez-Romero, Laura and Waller, Rebecca}, year={2022}, month=oct, pages={1914–1934} }
"
"Tests of vocabulary_TSQ","Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068.","10.3758/s13428-022-01856-x",NA,"https://osf.io/ef3s4/"," @article{Vermeiren_2022, title={Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension}, volume={55}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-022-01856-x}, DOI={10.3758/s13428-022-01856-x}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Vermeiren, Hanke and Vandendaele, Aaron and Brysbaert, Marc}, year={2022}, month=may, pages={1036–1068} }
"
"Tests of vocabulary_Vocabulary","Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068.","10.3758/s13428-022-01856-x",NA,"https://osf.io/ef3s4/"," @article{Vermeiren_2022, title={Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension}, volume={55}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-022-01856-x}, DOI={10.3758/s13428-022-01856-x}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Vermeiren, Hanke and Vandendaele, Aaron and Brysbaert, Marc}, year={2022}, month=may, pages={1036–1068} }
"
"Tests of vocabulary_AFOQT","Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068.","10.3758/s13428-022-01856-x",NA,"https://osf.io/ef3s4/"," @article{Vermeiren_2022, title={Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension}, volume={55}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-022-01856-x}, DOI={10.3758/s13428-022-01856-x}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Vermeiren, Hanke and Vandendaele, Aaron and Brysbaert, Marc}, year={2022}, month=may, pages={1036–1068} }
"
"Tests of vocabulary_ART","Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068.","10.3758/s13428-022-01856-x",NA,"https://osf.io/ef3s4/"," @article{Vermeiren_2022, title={Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension}, volume={55}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-022-01856-x}, DOI={10.3758/s13428-022-01856-x}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Vermeiren, Hanke and Vandendaele, Aaron and Brysbaert, Marc}, year={2022}, month=may, pages={1036–1068} }
"
"Tests of vocabulary_BFI","Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068.","10.3758/s13428-022-01856-x",NA,"https://osf.io/ef3s4/"," @article{Vermeiren_2022, title={Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension}, volume={55}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-022-01856-x}, DOI={10.3758/s13428-022-01856-x}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Vermeiren, Hanke and Vandendaele, Aaron and Brysbaert, Marc}, year={2022}, month=may, pages={1036–1068} }
"
"Tests of vocabulary_GK","Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068.","10.3758/s13428-022-01856-x",NA,"https://osf.io/ef3s4/"," @article{Vermeiren_2022, title={Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension}, volume={55}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-022-01856-x}, DOI={10.3758/s13428-022-01856-x}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Vermeiren, Hanke and Vandendaele, Aaron and Brysbaert, Marc}, year={2022}, month=may, pages={1036–1068} }
"
"Tests of vocabulary_IceageQ","Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068.","10.3758/s13428-022-01856-x",NA,"https://osf.io/ef3s4/"," @article{Vermeiren_2022, title={Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension}, volume={55}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-022-01856-x}, DOI={10.3758/s13428-022-01856-x}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Vermeiren, Hanke and Vandendaele, Aaron and Brysbaert, Marc}, year={2022}, month=may, pages={1036–1068} }
"
"Tests of vocabulary_ND","Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068.","10.3758/s13428-022-01856-x",NA,"https://osf.io/ef3s4/"," @article{Vermeiren_2022, title={Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension}, volume={55}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-022-01856-x}, DOI={10.3758/s13428-022-01856-x}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Vermeiren, Hanke and Vandendaele, Aaron and Brysbaert, Marc}, year={2022}, month=may, pages={1036–1068} }
"
"Tests of vocabulary_RF","Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068.","10.3758/s13428-022-01856-x",NA,"https://osf.io/ef3s4/"," @article{Vermeiren_2022, title={Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension}, volume={55}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-022-01856-x}, DOI={10.3758/s13428-022-01856-x}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Vermeiren, Hanke and Vandendaele, Aaron and Brysbaert, Marc}, year={2022}, month=may, pages={1036–1068} }
"
